feature,LDA,pvalue
Bacteria.Proteobacteria.Gammaproteobacteria.GammaproteobacteriaIncertaeSedis,4.035747604761778,2.1758658271068913e-08
Bacteria.Proteobacteria.Gammaproteobacteria.Nitrosococcales,4.145168757551033,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.PLTA13,4.171310319492939,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales,4.796279756266231,2.934398584747781e-09
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales,4.28963847397523,-
Bacteria.Proteobacteria.Gammaproteobacteria.unknown,4.5839134889895785,2.921554566269565e-13
Bacteria.Acidobacteriota.Acidobacteriae.Bryobacterales.Bryobacteraceae,4.066710965753877,7.903628278545565e-13
Bacteria.Acidobacteriota.Acidobacteriae.PAUC26f.unknown,4.118822977840552,1.2026045516953384e-11
Bacteria.Acidobacteriota.Acidobacteriae.Subgroup2.unknown,4.2083204036338016,-
Bacteria.Acidobacteriota.Subgroup21.unknown.unknown,4.036043028964377,2.920281239036104e-13
Bacteria.Acidobacteriota.Subgroup22.unknown.unknown,4.002282482205941,8.748627763660348e-11
Bacteria.Acidobacteriota.Thermoanaerobaculia.Thermoanaerobaculales.Thermoanaerobaculaceae,4.105480836889873,1.790173259733721e-08
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae,4.440582014219816,3.17497811843392e-13
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.unknown,4.370177313499427,2.921554566269565e-13
Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown,4.489344702001255,3.4529542236311955e-13
Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae,4.064853000870328,9.23582301082052e-13
Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cyclobacteriaceae,4.260823716209072,2.7675262184149646e-13
Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Microscillaceae,4.336363546872275,1.0968955088865e-12
Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae,4.434518781148618,2.386113296488808e-13
Bacteria.Bacteroidota.Rhodothermia.Rhodothermales.Rhodothermaceae,4.165216281190464,2.873528148324705e-13
Bacteria.Chloroflexi.Anaerolineae.SBR1031.A4b,4.277276766184159,1.570581693383603e-08
Bacteria.Chloroflexi.Anaerolineae.SBR1031.unknown,4.026252852415146,-
Bacteria.Chloroflexi.Dehalococcoidia.S085.unknown,4.345473374300791,5.683578052537506e-13
Bacteria.Desulfobacterota.Desulfuromonadia.Desulfuromonadales.Desulfuromonadaceae,4.329184226255556,-
Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae,4.358522820470717,2.91646434295922e-13
Bacteria.Desulfobacterota.unknown.unknown.unknown,4.107384293335563,1.9154795705924228e-11
Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae,4.146845229453013,6.063163651658757e-07
Bacteria.Gemmatimonadota.AKAU4049.unknown.unknown,4.0399128991413376,2.920281239036104e-13
Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown,4.435364281235562,2.921554566269565e-13
Bacteria.Gemmatimonadota.Gemmatimonadetes.Gemmatimonadales.Gemmatimonadaceae,4.334121871646021,1.1788622408762542e-10
Bacteria.MBNT15.unknown.unknown.unknown,4.037841336525898,-
Bacteria.Myxococcota.bacteriap25.unknown.unknown,4.407512233120268,-
Bacteria.NB1_j.unknown.unknown.unknown,4.105300083031072,-
Bacteria.Nitrospirota.Nitrospiria.Nitrospirales.Nitrospiraceae,4.465943535698546,8.580100367177478e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales.Kiloniellaceae,4.160505201690509,2.920281239036104e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae,4.177236600198798,2.920281239036104e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae,4.1986975520304295,5.415760998481323e-09
Bacteria.Proteobacteria.Alphaproteobacteria.Tistrellales.Geminicoccaceae,4.134213412961005,4.0789750678932396e-13
Bacteria.Proteobacteria.Alphaproteobacteria.unknown.unknown,4.349680005199119,3.17497811843392e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae,4.132017635652269,3.681751990692069e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae,4.645658294145075,3.4529542236311955e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Rhodocyclaceae,4.079049530295432,8.580100367177478e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.TRA3_20,4.535390830186414,9.895786759750225e-09
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Idiomarinaceae,4.108940678428746,1.1536363110532861e-08
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Kangiellaceae,4.268219029272122,2.7699496470028963e-13
Bacteria.Proteobacteria.Gammaproteobacteria.GammaproteobacteriaIncertaeSedis.UnknownFamily,4.035747604761778,2.1758658271068913e-08
Bacteria.Proteobacteria.Gammaproteobacteria.PLTA13.unknown,4.171310319492939,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Alcanivoracaceae1,4.071983183303328,5.581651467590904e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae,4.393418218772387,3.70531559044631e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales.Steroidobacteraceae,4.018102678266149,1.2912489076399152e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales.Woeseiaceae,4.18930309891634,1.6476738884853805e-12
Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown,4.5839134889895785,2.921554566269565e-13
Bacteria.Acidobacteriota.Acidobacteriae.Bryobacterales.Bryobacteraceae.Bryobacter,4.066710965753877,7.903628278545565e-13
Bacteria.Acidobacteriota.Acidobacteriae.PAUC26f.unknown.unknown,4.118822977840552,1.2026045516953384e-11
Bacteria.Acidobacteriota.Acidobacteriae.Subgroup2.unknown.unknown,4.2083204036338016,-
Bacteria.Acidobacteriota.Subgroup21.unknown.unknown.unknown,4.036043028964377,2.920281239036104e-13
Bacteria.Acidobacteriota.Subgroup22.unknown.unknown.unknown,4.002282482205941,8.748627763660348e-11
Bacteria.Acidobacteriota.Thermoanaerobaculia.Thermoanaerobaculales.Thermoanaerobaculaceae.Subgroup10,4.103908181926754,1.790173259733721e-08
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae.unknown,4.428825208909281,3.176358304006556e-13
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.unknown.unknown,4.370177313499427,2.921554566269565e-13
Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown.unknown,4.489344702001255,3.4529542236311955e-13
Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cyclobacteriaceae.unknown,4.085160692612299,2.772375042684829e-13
Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae.unknown,4.3073093938279765,2.352861728876516e-13
Bacteria.Bacteroidota.Rhodothermia.Rhodothermales.Rhodothermaceae.unknown,4.161473643040377,2.8473022210749694e-13
Bacteria.Chloroflexi.Anaerolineae.SBR1031.A4b.unknown,4.2769874281288285,1.570581693383603e-08
Bacteria.Chloroflexi.Anaerolineae.SBR1031.unknown.unknown,4.026252852415146,-
Bacteria.Chloroflexi.Dehalococcoidia.S085.unknown.unknown,4.345473374300791,5.683578052537506e-13
Bacteria.Desulfobacterota.Desulfuromonadia.Desulfuromonadales.Desulfuromonadaceae.unknown,4.321754291634777,-
Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae.unknown,4.259327705037166,2.91646434295922e-13
Bacteria.Desulfobacterota.unknown.unknown.unknown.unknown,4.107384293335563,1.9154795705924228e-11
Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus,4.068830837597163,6.426721816627742e-07
Bacteria.Gemmatimonadota.AKAU4049.unknown.unknown.unknown,4.0399128991413376,2.920281239036104e-13
Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown.unknown,4.435364281235562,2.921554566269565e-13
Bacteria.Gemmatimonadota.Gemmatimonadetes.Gemmatimonadales.Gemmatimonadaceae.unknown,4.322791083907795,1.58479540820641e-10
Bacteria.MBNT15.unknown.unknown.unknown.unknown,4.037841336525898,-
Bacteria.Myxococcota.bacteriap25.unknown.unknown.unknown,4.407512233120268,-
Bacteria.NB1_j.unknown.unknown.unknown.unknown,4.105300083031072,-
Bacteria.Nitrospirota.Nitrospiria.Nitrospirales.Nitrospiraceae.Nitrospira,4.465943535698546,8.580100367177478e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingomonas,4.102059053756911,1.405153547980126e-11
Bacteria.Proteobacteria.Alphaproteobacteria.Tistrellales.Geminicoccaceae.unknown,4.130597295243733,3.176358304006556e-13
Bacteria.Proteobacteria.Alphaproteobacteria.unknown.unknown.unknown,4.349680005199119,3.17497811843392e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae.MND1,4.411257643014453,3.4529542236311955e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.TRA3_20.unknown,4.535390830186414,9.895786759750225e-09
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Idiomarinaceae.Idiomarina,4.108162712829111,-
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Kangiellaceae.Kangiella,4.251043073766129,4.570585353936682e-13
Bacteria.Proteobacteria.Gammaproteobacteria.GammaproteobacteriaIncertaeSedis.UnknownFamily.unknown,4.011663221631741,2.920281239036104e-13
Bacteria.Proteobacteria.Gammaproteobacteria.PLTA13.unknown.unknown,4.171310319492939,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Alcanivoracaceae1.Alcanivorax,4.071983183303328,5.581651467590904e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae.Marinobacter,4.393418218772387,3.70531559044631e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales.Woeseiaceae.Woeseia,4.14546400279345,2.6738272720611797e-12
Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown.unknown,4.5839134889895785,2.921554566269565e-13
Bacteria.Acidobacteriota.Acidobacteriae.Bryobacterales.Bryobacteraceae.Bryobacter.unknown,4.066710965753877,7.903628278545565e-13
Bacteria.Acidobacteriota.Acidobacteriae.PAUC26f.unknown.unknown.unknown,4.118822977840552,1.2026045516953384e-11
Bacteria.Acidobacteriota.Acidobacteriae.Subgroup2.unknown.unknown.unknown,4.2083204036338016,-
Bacteria.Acidobacteriota.Subgroup21.unknown.unknown.unknown.unknown,4.036043028964377,2.920281239036104e-13
Bacteria.Acidobacteriota.Subgroup22.unknown.unknown.unknown.unknown,4.002282482205941,8.748627763660348e-11
Bacteria.Acidobacteriota.Thermoanaerobaculia.Thermoanaerobaculales.Thermoanaerobaculaceae.Subgroup10.unknown,4.103908181926754,1.790173259733721e-08
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae.unknown.unknown,4.428825208909281,3.176358304006556e-13
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.unknown.unknown.unknown,4.370177313499427,2.921554566269565e-13
Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown.unknown.unknown,4.489344702001255,3.4529542236311955e-13
Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cyclobacteriaceae.unknown.unknown,4.085160692612299,2.772375042684829e-13
Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae.unknown.unknown,4.3073093938279765,2.352861728876516e-13
Bacteria.Bacteroidota.Rhodothermia.Rhodothermales.Rhodothermaceae.unknown.unknown,4.161473643040377,2.8473022210749694e-13
Bacteria.Chloroflexi.Anaerolineae.SBR1031.A4b.unknown.unknown,4.2769874281288285,1.570581693383603e-08
Bacteria.Chloroflexi.Anaerolineae.SBR1031.unknown.unknown.unknown,4.026252852415146,-
Bacteria.Chloroflexi.Dehalococcoidia.S085.unknown.unknown.unknown,4.345473374300791,5.683578052537506e-13
Bacteria.Desulfobacterota.Desulfuromonadia.Desulfuromonadales.Desulfuromonadaceae.unknown.unknown,4.321754291634777,-
Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae.unknown.unknown,4.259327705037166,2.91646434295922e-13
Bacteria.Desulfobacterota.unknown.unknown.unknown.unknown.unknown,4.107384293335563,1.9154795705924228e-11
Bacteria.Gemmatimonadota.AKAU4049.unknown.unknown.unknown.unknown,4.0399128991413376,2.920281239036104e-13
Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown.unknown.unknown,4.435364281235562,2.921554566269565e-13
Bacteria.Gemmatimonadota.Gemmatimonadetes.Gemmatimonadales.Gemmatimonadaceae.unknown.unknown,4.322791083907795,1.58479540820641e-10
Bacteria.MBNT15.unknown.unknown.unknown.unknown.unknown,4.037841336525898,-
Bacteria.Myxococcota.bacteriap25.unknown.unknown.unknown.unknown,4.407512233120268,-
Bacteria.NB1_j.unknown.unknown.unknown.unknown.unknown,4.105300083031072,-
Bacteria.Nitrospirota.Nitrospiria.Nitrospirales.Nitrospiraceae.Nitrospira.unknown,4.458172674108878,4.43251232095137e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingomonas.unknown,4.057558340888581,1.1123497046605456e-11
Bacteria.Proteobacteria.Alphaproteobacteria.Tistrellales.Geminicoccaceae.unknown.unknown,4.130597295243733,3.176358304006556e-13
Bacteria.Proteobacteria.Alphaproteobacteria.unknown.unknown.unknown.unknown,4.349680005199119,3.17497811843392e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae.MND1.unknown,4.411257643014453,3.4529542236311955e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.TRA3_20.unknown.unknown,4.535390830186414,9.895786759750225e-09
Bacteria.Proteobacteria.Gammaproteobacteria.GammaproteobacteriaIncertaeSedis.UnknownFamily.unknown.unknown,4.011663221631741,2.920281239036104e-13
Bacteria.Proteobacteria.Gammaproteobacteria.PLTA13.unknown.unknown.unknown,4.171310319492939,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Alcanivoracaceae1.Alcanivorax.unknown,4.068921410580247,5.581651467590904e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae.Marinobacter.unknown,4.229037295058369,2.2912575817129995e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales.Woeseiaceae.Woeseia.unknown,4.145449331308758,2.6738272720611797e-12
Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown.unknown.unknown,4.5839134889895785,2.921554566269565e-13
